Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  114811      1091      315     4568  03/10/2009 10:52  03/10/2009 10:52  117061             
  112546      1139      122     5587  02/18/2009 09:15  02/18/2009 09:51  117062             
  112587      1139      122     5379  02/18/2009 10:34  02/18/2009 10:34  117063             
  112567      1140      122     5594  02/18/2009 09:51  02/18/2009 10:24  117064             
  112588      1140      122     5348  02/18/2009 10:35  02/18/2009 10:35  117065             
  102819      1156      121     6255  12/10/2008 06:41  12/10/2008 07:03  Failed             
  102827      1156      121     4126  12/10/2008 07:02  12/10/2008 07:02  Failed             
  102841      1156      121     6253  12/10/2008 07:53  12/10/2008 08:13  Failed             
  112000      1156      121     6253  02/11/2009 01:44  02/11/2009 01:53  Failed             
  112226      1156      121     6255  02/12/2009 06:47  02/12/2009 12:35  Failed             
  113324      1156      121     4122  02/22/2009 05:34  02/22/2009 06:01  Failed             
  113558      1156      121     6255  02/25/2009 07:11  02/25/2009 07:13  Failed             
