Transaction Collection Report

 Trans ID     Job#  Empl ID  OpersID   Start Date/Time    Stop Date/Time  Result
  125214      1949      289     5891  01/24/2010 04:30  01/24/2010 04:54  128398                 
  125301      1949      289     5895  01/24/2010 09:51  01/24/2010 09:51  128399                 
  125305      1949      561     5881  01/24/2010 09:54  01/24/2010 10:31  128400                 
  125307      1949      561     5887  01/24/2010 10:05  01/24/2010 10:05  128401                 
  125508      1949      289     5891  01/25/2010 07:46  01/25/2010 08:40  128402                 
  125510      1949      105     5897  01/25/2010 07:47  01/25/2010 08:42  128403                 
  125555      1949      289     5897  01/25/2010 09:41  01/25/2010 10:10  128404                 
  124850      1950      561     5849  01/22/2010 07:14  01/22/2010 09:12  128405                 
  125009      1950      289     5859  01/23/2010 06:16  01/23/2010 06:33  128406                 
  125013      1950      561     5849  01/23/2010 06:21  01/23/2010 06:51  128407                 
  125027      1950      561     5855  01/23/2010 06:38  01/23/2010 06:38  128408                 
  125136      1950      289     5863  01/23/2010 10:49  01/23/2010 10:49  128409                 
  125221      1950      289     5859  01/24/2010 04:54  01/24/2010 05:15  128410                 
  125297      1950      561     5849  01/24/2010 09:40  01/24/2010 09:54  128411                 
  125302      1950      289     5863  01/24/2010 09:52  01/24/2010 09:52  128412                 
  125304      1950      561     5855  01/24/2010 09:53  01/24/2010 09:53  128413                 
  125490      1950      289     5859  01/25/2010 07:09  01/25/2010 07:40  128414                 
  125097      1953      289     3072  01/23/2010 08:41  01/23/2010 09:22  128415                 
  125098      1953      105     5700  01/23/2010 08:45  01/23/2010 09:33  128416                 
  125106      1953      105     3076  01/23/2010 09:05  01/23/2010 09:05  128417                 
  125139      1953      289     3076  01/23/2010 10:52  01/23/2010 10:52  128418                 
  125146      1953      561     3062  01/23/2010 12:18  01/23/2010 12:39  128419                 
  125148      1953      561     3068  01/23/2010 12:26  01/23/2010 12:26  128420                 
  125283      1953      289     3072  01/24/2010 08:50  01/24/2010 09:25  128421                 
  125285      1953      105     5700  01/24/2010 09:01  01/25/2010 05:20  128422                 
  125288      1953      105     3076  01/24/2010 09:06  01/24/2010 09:06  128423                 
  125306      1953      289     3076  01/24/2010 09:55  01/24/2010 09:55  128424                 
  124975      1954      289    24446  01/23/2010 05:35  01/23/2010 05:47  128425                 
  125134      1954      289    24450  01/23/2010 10:47  01/23/2010 10:47  128426                 
  125203      1954      561    24436  01/24/2010 03:32  01/24/2010 03:46  128427                 
  125205      1954      561    24442  01/24/2010 03:44  01/24/2010 03:44  128428                 
  125211      1954      289    24446  01/24/2010 04:19  01/24/2010 04:30  128429                 
  125300      1954      289    24450  01/24/2010 09:50  01/24/2010 09:50  128430                 
  125400      1954      561    24436  01/25/2010 04:05  01/25/2010 04:24  128431                 
  125414      1954      561    24442  01/25/2010 04:23  01/25/2010 04:23  128432                 
  125503      1954      289    24446  01/25/2010 07:40  01/25/2010 07:46  128433                 
  125551      1954      289    24452  01/25/2010 09:33  01/25/2010 09:41  128434                 
  124876      1966      233    23722  01/22/2010 08:24  01/22/2010 09:02  128435                 
  124878      1966      233    23726  01/22/2010 08:38  01/22/2010 08:38  128436                 
  125021      1966      292    23722  01/23/2010 06:33  01/23/2010 07:07  128437                 
  125023      1966      358    23711  01/23/2010 06:34  01/23/2010 06:47  128438                 
  125031      1966      292    23726  01/23/2010 06:43  01/23/2010 06:43  128439                 
  125032      1966      358    23718  01/23/2010 06:45  01/23/2010 06:45  128440                 
  125222      1966      233    23722  01/24/2010 05:05  01/24/2010 05:24  128441                 
  125319      1966      358    23711  01/24/2010 11:31  01/24/2010 13:28  128442                 
  125321      1966      358    23718  01/24/2010 11:35  01/24/2010 11:35  128443                 
  125526      1966      233    23722  01/25/2010 08:39  01/25/2010 09:06  128444                 
  125546      1966      358    23711  01/25/2010 09:21  01/25/2010 10:01  128445                 
  125550      1966      358    23718  01/25/2010 09:31  01/25/2010 09:31  128446                 
  124881      1967      233    23914  01/22/2010 09:02  01/22/2010 09:13  128447                 
  124883      1967      233    23918  01/22/2010 09:12  01/22/2010 09:12  128448                 
  125067      1967      292    23914  01/23/2010 07:48  01/23/2010 08:30  128449                 
  125071      1967      292    23918  01/23/2010 07:56  01/23/2010 07:56  128450                 
  125099      1967      358    23903  01/23/2010 08:47  01/23/2010 09:14  128451                 
  125104      1967      358    23910  01/23/2010 09:03  01/23/2010 09:03  128452                 
  125232      1967      233    23914  01/24/2010 05:44  01/24/2010 06:05  128453                 
  125584      1967      358    23910  01/25/2010 10:33  01/25/2010 10:33  128454                 
  124999      1968      292    23866  01/23/2010 06:05  01/23/2010 06:33  128455                 
  125002      1968      358    23855  01/23/2010 06:06  01/23/2010 06:34  128456                 
  125015      1968      358    23862  01/23/2010 06:24  01/23/2010 06:24  128457                 
  125016      1968      292    23870  01/23/2010 06:24  01/23/2010 06:24  128458                 
  125110      1968      358    23855  01/23/2010 09:14  01/23/2010 09:19  128459                 
  125112      1968      358    23862  01/23/2010 09:18  01/23/2010 09:18  128460                 
  125226      1968      233    23866  01/24/2010 05:24  01/24/2010 05:44  128461                 
  125541      1968      233    23866  01/25/2010 09:06  01/25/2010 10:00  128462                 
  125570      1968      358    23855  01/25/2010 10:01  01/25/2010 10:18  128463                 
  125573      1968      358    23862  01/25/2010 10:07  01/25/2010 10:07  128464                 
  125579      1968      358    23855  01/25/2010 10:18  01/25/2010 10:33  128465                 
  124871      1970      233    11748  01/22/2010 08:01  01/22/2010 08:24  128466                 
  124875      1970      233    11752  01/22/2010 08:22  01/22/2010 08:22  128467                 
  125036      1970      358    11737  01/23/2010 06:47  01/23/2010 08:47  128468                 
  125047      1970      292    11748  01/23/2010 07:07  01/23/2010 07:48  128469                 
  125057      1970      292    11752  01/23/2010 07:23  01/23/2010 07:23  128470                 
  125079      1970      358    11744  01/23/2010 08:11  01/23/2010 08:11  128471                 
  125092      1970      292    11748  01/23/2010 08:30  01/23/2010 09:05  128472                 
  125096      1970      292    11752  01/23/2010 08:38  01/23/2010 08:38  128473                 
  125218      1970      233    11748  01/24/2010 04:40  01/24/2010 05:05  128474                 
  125243      1970      233    11748  01/24/2010 06:05  01/24/2010 06:21  128475                 
  125317      1970      358    11737  01/24/2010 11:14  01/24/2010 11:31  128476                 
  125318      1970      358    11744  01/24/2010 11:29  01/24/2010 11:29  128477                 
  125491      1970      233    11748  01/25/2010 07:12  01/25/2010 08:39  128478                 
  125525      1970      233    11752  01/25/2010 08:38  01/25/2010 08:38  128479                 
  125540      1970      358    11737  01/25/2010 09:03  01/25/2010 09:21  128480                 
  125548      1970      358    11744  01/25/2010 09:30  01/25/2010 09:30  128481                 
  125167      2008      393    24882  01/23/2010 20:48  01/23/2010 20:48  128482                 
  125403      2008      393    24858  01/25/2010 04:08  01/25/2010 05:09  128483                 
  125411      2008      257    24847  01/25/2010 04:21  01/25/2010 04:48  128484                 
  125060      2060      289    33568  01/23/2010 07:35  01/23/2010 08:06  128485                 
  125138      2060      289    33572  01/23/2010 10:51  01/23/2010 10:51  128486                 
  125248      2060      289    33568  01/24/2010 06:24  01/24/2010 07:11  128487                 
  125249      2060      105    33574  01/24/2010 06:24  01/24/2010 07:11  128488                 
  125260      2060      105    33572  01/24/2010 06:51  01/24/2010 06:51  128489                 
